id_stat,pays,date,epidemiologist
1,AUT,01/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
2,AUT,02/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
3,AUT,03/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
4,AUT,04/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
5,AUT,05/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
6,AUT,06/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
7,AUT,07/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
8,AUT,08/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
9,AUT,09/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
10,AUT,10/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
11,AUT,11/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
12,AUT,12/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
13,AUT,13/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
14,AUT,14/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
15,AUT,15/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
16,AUT,16/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
17,AUT,17/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
18,AUT,18/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
19,AUT,19/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
20,AUT,20/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
21,AUT,21/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
22,AUT,22/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
23,AUT,23/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
24,AUT,24/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
25,AUT,25/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
26,AUT,26/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
27,AUT,27/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
28,AUT,28/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
29,AUT,29/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
30,AUT,30/04/2020,e782830c-4592-4eb4-a144-be8c076e3018
31,AUT,01/05/2020,e782830c-4592-4eb4-a144-be8c076e3018
