id_stat,icu_patients,hosp_patients
1,215,856
2,219,823
3,245,829
4,245,826
5,244,712
6,250,824
7,243,857
8,267,829
9,266,820
10,261,771
11,245,790
12,243,792
13,239,742
14,243,759
15,232,769
16,238,729
17,227,682
18,208,647
19,204,613
20,194,611
21,196,560
22,176,524
23,169,508
24,156,495
25,148,460
26,145,449
27,140,439
28,136,425
29,131,386
30,128,372
31,124,348
32,114,314
33,114,308
34,111,309
35,104,314
36,97,321
37,92,268
38,81,258
39,79,230
40,72,219
41,68,211
42,59,205
43,55,188
44,54,180
45,47,165
46,50,158
47,48,149
48,45,151
49,39,143
50,37,137
51,32,156
52,31,128
53,28,116
54,29,108
55,31,108
56,32,95
57,32,84
58,30,77
59,25,78
60,23,75
61,27,70
62,29,68
63,26,62
64,21,66
65,22,65
66,20,55
67,17,55
68,17,52
69,17,65
70,19,65
71,17,63
72,14,67
73,9,60
74,10,62
75,12,57
76,15,64
77,12,66
78,11,60
79,8,64
80,7,68
81,8,66
82,8,61
83,10,59
84,11,57
85,11,59
86,11,60
87,10,60
88,10,61
89,9,62
90,8,66
91,6,58
92,9,65
93,7,62
94,7,65
95,8,60
96,10,62
97,11,67
98,10,81
99,11,66
100,12,66
101,9,71
102,9,68
103,10,73
104,8,74
105,9,74
106,10,86
107,11,83
108,11,88
109,11,87
110,14,85
111,16,96
112,18,96
113,18,93
114,15,87
115,17,86
116,16,85
117,15,82
118,16,79
119,15,74
120,20,74
121,18,87
122,16,84
123,19,70
124,20,73
125,21,92
126,23,84
127,25,90
128,25,92
129,25,93
130,24,96
131,22,99
132,24,92
133,25,94
134,25,93
135,22,92
136,19,91
137,21,83
138,19,65
139,23,91
140,19,97
141,20,101
142,21,95
143,22,90
144,22,94
145,23,93
146,23,112
147,23,114
148,23,118
149,24,121
150,27,119
151,30,114
152,30,110
153,31,123
154,30,119
155,30,127
156,29,132
157,28,128
158,28,129
159,28,115
160,29,134
161,28,142
162,36,161
163,39,166
164,41,163
165,42,167
166,44,182
167,47,208
168,49,244
169,54,267
170,55,264
171,62,272
172,84,265
173,68,273
174,67,297
175,75,315
176,77,336
177,78,344
178,78,333
179,80,343
180,84,362
181,88,381
182,90,401
183,90,406
184,98,395
185,100,372
186,97,397
187,103,373
188,101,387
189,101,397
190,100,425
191,107,399
192,103,405
