id_stat,nb_tests,nb_vaccinations
6277,NULL,30.0
6278,4.0,NULL
6279,43.0,NULL
6280,4.0,NULL
6281,13.0,NULL
6282,10.0,NULL
6283,53.0,NULL
6284,28.0,NULL
6285,5.0,NULL
6286,1.0,NULL
6287,76.0,NULL
6288,36.0,NULL
6289,2.0,NULL
6290,2.0,NULL
6291,34.0,NULL
6292,2.0,NULL
6293,1.0,NULL
6294,1.0,NULL
6295,17.0,NULL
6296,2.0,NULL
6297,1.0,NULL
6298,2.0,NULL
6299,1.0,NULL
6300,1.0,NULL
6301,1.0,NULL
6302,1.0,NULL
6303,1.0,NULL
6304,2.0,NULL
6305,3.0,NULL
6306,7.0,NULL
6307,2.0,NULL
6308,1.0,NULL
6309,5.0,NULL
6310,9.0,NULL
6311,6.0,NULL
6312,7.0,NULL
6313,6.0,NULL
6314,7.0,NULL
6315,10.0,NULL
6316,7.0,NULL
6317,26.0,NULL
6318,13.0,NULL
6319,36.0,NULL
6320,31.0,NULL
6321,44.0,NULL
6322,84.0,NULL
6323,50.0,NULL
6324,81.0,NULL
6325,98.0,NULL
6326,124.0,NULL
6327,192.0,NULL
6328,137.0,NULL
6329,215.0,NULL
6330,296.0,NULL
6331,221.0,NULL
6332,262.0,NULL
6333,386.0,NULL
6334,441.0,NULL
6335,480.0,NULL
6336,363.0,NULL
6337,407.0,NULL
6338,620.0,NULL
6339,529.0,NULL
6340,589.0,NULL
6341,927.0,NULL
6342,1291.0,NULL
6343,1246.0,NULL
6344,1090.0,NULL
6345,825.0,NULL
6346,1088.0,NULL
6347,1377.0,NULL
6348,1533.0,NULL
6349,1430.0,NULL
6350,1234.0,NULL
6351,1337.0,NULL
6352,1062.0,NULL
6353,1414.0,NULL
6354,1668.0,NULL
6355,1692.0,NULL
6356,1734.0,NULL
6357,1705.0,NULL
6358,1637.0,NULL
6359,1183.0,NULL
6360,1816.0,NULL
6361,2273.0,NULL
6362,2003.0,NULL
6363,2175.0,NULL
6364,2452.0,NULL
6365,2055.0,NULL
6366,1405.0,NULL
6367,1780.0,NULL
6368,2109.0,NULL
6369,2372.0,NULL
6370,2189.0,NULL
6371,2431.0,NULL
6372,1888.0,NULL
6373,1836.0,NULL
6374,2399.0,NULL
6375,3297.0,NULL
6376,3129.0,NULL
6377,3187.0,NULL
6378,3011.0,NULL
6379,3020.0,NULL
6380,1886.0,NULL
6381,2881.0,NULL
6382,3080.0,NULL
6383,3691.0,NULL
6384,3506.0,NULL
6385,3696.0,NULL
6386,3240.0,NULL
6387,2343.0,NULL
6388,3476.0,NULL
6389,4795.0,NULL
